CustomerID,Cluster
C0001,2
C0002,0
C0003,0
C0004,1
C0005,0
C0006,2
C0007,0
C0008,1
C0009,3
C0010,0
C0011,2
C0012,2
C0013,1
C0014,3
C0015,3
C0016,0
C0017,1
C0018,2
C0019,0
C0020,3
C0021,1
C0022,2
C0023,2
C0024,2
C0025,0
C0026,0
C0027,0
C0028,1
C0029,0
C0030,0
C0031,0
C0032,3
C0033,3
C0034,2
C0035,0
C0036,0
C0037,2
C0038,0
C0039,2
C0040,0
C0041,1
C0042,0
C0043,3
C0044,0
C0045,1
C0046,1
C0047,2
C0048,2
C0049,2
C0050,0
C0051,2
C0052,0
C0053,2
C0054,1
C0055,0
C0056,0
C0057,2
C0058,3
C0059,1
C0060,3
C0061,0
C0062,0
C0063,3
C0064,2
C0065,1
C0066,0
C0067,2
C0068,1
C0069,0
C0070,0
C0071,3
C0072,0
C0073,0
C0074,0
C0075,1
C0076,0
C0077,3
C0078,3
C0079,0
C0080,3
C0081,2
C0082,1
C0083,3
C0084,1
C0085,0
C0086,0
C0087,1
C0088,0
C0089,0
C0090,2
C0091,2
C0092,0
C0093,1
C0094,0
C0095,3
C0096,2
C0097,3
C0098,2
C0099,1
C0100,2
C0101,1
C0102,1
C0103,0
C0104,1
C0105,2
C0106,0
C0107,2
C0108,2
C0109,1
C0110,3
C0111,0
C0112,0
C0113,1
C0114,2
C0115,0
C0116,0
C0117,0
C0118,2
C0119,0
C0120,0
C0121,0
C0122,2
C0123,3
C0124,2
C0125,0
C0126,2
C0127,2
C0128,3
C0129,0
C0130,3
C0131,0
C0132,0
C0133,0
C0134,2
C0135,0
C0136,2
C0137,0
C0138,2
C0139,2
C0140,3
C0141,1
C0142,0
C0143,1
C0144,3
C0145,1
C0146,0
C0147,2
C0148,2
C0149,2
C0150,3
C0151,3
C0152,0
C0153,2
C0154,2
C0155,2
C0156,1
C0157,0
C0158,0
C0159,0
C0160,0
C0161,2
C0162,1
C0163,2
C0164,0
C0165,1
C0166,0
C0167,0
C0168,2
C0169,2
C0170,2
C0171,2
C0172,0
C0173,1
C0174,0
C0175,1
C0176,0
C0177,0
C0178,0
C0179,2
C0181,2
C0182,2
C0183,2
C0184,2
C0185,0
C0186,0
C0187,2
C0188,1
C0189,0
C0190,2
C0191,0
C0192,0
C0193,0
C0194,2
C0195,2
C0196,2
C0197,0
C0198,3
C0199,0
C0200,2
