CustomerID,Cluster
C0001,0
C0002,0
C0003,0
C0004,3
C0005,0
C0006,3
C0007,0
C0008,3
C0009,2
C0010,2
C0011,3
C0012,3
C0013,1
C0014,2
C0015,2
C0016,3
C0017,3
C0018,3
C0019,0
C0020,2
C0021,3
C0022,3
C0023,3
C0024,3
C0025,2
C0026,0
C0027,0
C0028,1
C0029,2
C0030,0
C0031,0
C0032,2
C0033,2
C0034,0
C0035,0
C0036,0
C0037,3
C0038,0
C0039,3
C0040,3
C0041,1
C0042,0
C0043,2
C0044,0
C0045,1
C0046,1
C0047,0
C0048,3
C0049,0
C0050,0
C0051,1
C0052,0
C0053,3
C0054,1
C0055,0
C0056,0
C0057,3
C0058,2
C0059,1
C0060,2
C0061,0
C0062,2
C0063,2
C0064,3
C0065,1
C0066,3
C0067,3
C0068,1
C0069,0
C0070,0
C0071,2
C0072,0
C0073,0
C0074,0
C0075,1
C0076,0
C0077,2
C0078,2
C0079,3
C0080,2
C0081,0
C0082,1
C0083,2
C0084,3
C0085,0
C0086,0
C0087,1
C0088,0
C0089,0
C0090,3
C0091,0
C0092,0
C0093,3
C0094,2
C0095,2
C0096,1
C0097,2
C0098,0
C0099,1
C0100,3
C0101,1
C0102,1
C0103,0
C0104,1
C0105,3
C0106,0
C0107,3
C0108,3
C0109,3
C0110,2
C0111,0
C0112,0
C0113,3
C0114,1
C0115,0
C0116,0
C0117,3
C0118,0
C0119,2
C0120,0
C0121,2
C0122,3
C0123,2
C0124,3
C0125,0
C0126,3
C0127,0
C0128,2
C0129,0
C0130,2
C0131,0
C0132,0
C0133,0
C0134,0
C0135,0
C0136,3
C0137,0
C0138,1
C0139,3
C0140,0
C0141,1
C0142,0
C0143,1
C0144,2
C0145,1
C0146,0
C0147,0
C0148,3
C0149,3
C0150,2
C0151,2
C0152,0
C0153,3
C0154,3
C0155,3
C0156,1
C0157,0
C0158,3
C0159,0
C0160,0
C0161,0
C0162,3
C0163,1
C0164,0
C0165,1
C0166,0
C0167,0
C0168,3
C0169,3
C0170,3
C0171,3
C0172,0
C0173,1
C0174,0
C0175,1
C0176,0
C0177,0
C0178,0
C0179,3
C0180,2
C0181,0
C0182,3
C0183,3
C0184,0
C0185,0
C0186,2
C0187,3
C0188,1
C0189,0
C0190,0
C0191,0
C0192,0
C0193,0
C0194,3
C0195,3
C0196,3
C0197,0
C0198,2
C0199,0
C0200,3
